h_address,h_link,h_ranking_users,h_star,r_average,r_excellent,r_poor,r_terrible,r_very_good
"Paseo de Gracia 68 , 08007 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d190616-Reviews-Majestic_Hotel_Spa_Barcelona-Barcelona_Catalonia.html,44,5.0,87,1338,32,18,346
"Breton de los Herreros, 26 , Atb-508012 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d234849-Reviews-Aparthotel_Silver-Barcelona_Catalonia.html,79,3.0,33,251,12,3,200
"C/ Rocafort 23-25 , 08015 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d582087-Reviews-Evenia_Rocafort-Barcelona_Catalonia.html,219,3.0,26,66,7,2,120
"Via Laietana 49 , 08003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1940950-Reviews-Hotel_Ohla_Barcelona-Barcelona_Catalonia.html,48,5.0,77,930,11,12,274
"Rambla Catalunya 104 , 08008 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d877814-Reviews-Hotel_Murmuri_Barcelona-Barcelona_Catalonia.html,73,4.5,78,817,20,17,345
"Rambla Catalunya, 26 , 08007 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d206921-Reviews-NH_Collection_Barcelona_Gran_Hotel_Calderon-Barcelona_Catalonia.html,94,5.0,104,497,35,17,367
"C/ Cristobal de Moura 138 , 08019 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d530096-Reviews-Hotel_Barcelona_Condal_Mar_By_Melia-Barcelona_Catalonia.html,224,4.0,141,280,52,30,458
"Jaime I, 14 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d232789-Reviews-Hotel_Gotico-Barcelona_Catalonia.html,246,4.0,19,37,4,4,47
"Carrer Nou de la Rambla, 174 , 08004 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d7949436-Reviews-Hotel_Brummell-Barcelona_Catalonia.html,10,3.5,10,325,2,0,49
"Passeig de Gracia, 132 , 08008 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d489057-Reviews-Casa_Fuster_Hotel-Barcelona_Catalonia.html,56,5.0,64,636,31,17,214
"Pasaje Gutenberg, 7 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d2096339-Reviews-Chic_Basic_Ramblas-Barcelona_Catalonia.html,187,3.0,56,202,17,4,213
"Nou de la Rambla 12 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d237157-Reviews-Hotel_Gaudi-Barcelona_Catalonia.html,176,3.0,156,362,26,14,458
"Parallel 40 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d542974-Reviews-SERHS_Del_Port_Hotel-Barcelona_Catalonia.html,156,3.0,63,109,17,17,150
"Carrer Palaudaries 26 , 08004 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1989060-Reviews-Hotel_Grums-Barcelona_Catalonia.html,207,4.0,84,245,20,17,269
"Calle de Llanca 24 , 08015 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d2440485-Reviews-Ofelias_Hotel-Barcelona_Catalonia.html,131,4.5,24,209,10,8,112
"Passeig Colom 12 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d259360-Reviews-Hotel_Duquesa_de_Cardona-Barcelona_Catalonia.html,26,4.0,54,1070,18,14,432
"Gran Via de Les Corts Catalanes, 700 , 08010 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d8780848-Reviews-Casa_Bonay-Barcelona_Catalonia.html,84,4.0,14,154,2,2,48
"Gran Via Corts Catalanes 647 , 08010 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d208209-Reviews-Gran_Hotel_Havana-Barcelona_Catalonia.html,162,4.5,119,388,47,24,391
"Avenida Diagonal 589-591 , 08014 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228419-Reviews-Hilton_Barcelona-Barcelona_Catalonia.html,191,4.5,210,685,74,30,579
"Ronda Sant Pere, 9 , 08010 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d6204834-Reviews-Catalonia_Square-Barcelona_Catalonia.html,14,4.5,15,501,3,5,100
"Carrer de Pelai, 28 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d623246-Reviews-Catalonia_Ramblas-Barcelona_Catalonia.html,170,4.0,95,423,35,43,320
"Aribau 33 , 08011 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d305582-Reviews-Axel_Hotel_Barcelona_Urban_Spa-Barcelona_Catalonia.html,160,4.0,232,696,120,77,484
"Avenida de Rius I Taulet, 1-3 , 08004 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228466-Reviews-Crowne_Plaza_Barcelona_Fira_Center-Barcelona_Catalonia.html,67,4.5,54,562,10,4,258
"Plaza Espana 6-8 , 08014 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d229676-Reviews-Catalonia_Barcelona_Plaza-Barcelona_Catalonia.html,217,4.0,197,446,94,60,422
"C/ Mallorca 181 , 08036 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d229999-Reviews-Best_Western_Premier_Hotel_Dante-Barcelona_Catalonia.html,107,4.0,56,384,11,10,312
"Avenida Diagonal 661 - 671 , 08028 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d208210-Reviews-Fairmont_Rey_Juan_Carlos_I-Barcelona_Catalonia.html,106,5.0,74,413,26,16,157
"C/ La Boqueria 10 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d613711-Reviews-Petit_Palace_Boqueria_Garden-Barcelona_Catalonia.html,115,4.0,143,401,72,48,342
"Passeig/Paseo de Picasso, 26-30 , El Born08003 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d2558794-Reviews-K_K_Hotel_Picasso-Barcelona_Catalonia.html,47,4.0,63,1536,15,4,501
"Pas de Sota Muralla, 9 , 08003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d4702800-Reviews-H10_Port_Vell-Barcelona_Catalonia.html,39,4.5,24,489,6,3,145
"Carrer de Llull 71 , 08005 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d10670124-Reviews-Ibis_Styles_Barcelona_City_Bogatell-Barcelona_Catalonia.html,143,2.0,23,74,2,2,53
"Paseo de Gracia, 73 , 08008 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d229677-Reviews-Condes_De_Barcelona-Barcelona_Catalonia.html,154,4.0,117,439,41,19,415
"Gran Via 543-545 , 08011 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d619681-Reviews-Soho_Hotel-Barcelona_Catalonia.html,82,3.0,85,788,25,10,515
"Carrer Napols 230 232 , 08020 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d3870901-Reviews-Ibis_Barcelona_Centro-Barcelona_Catalonia.html,129,2.0,41,184,8,5,213
"C/Diputacion 325 , 08009 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d662605-Reviews-Praktik_Garden-Barcelona_Catalonia.html,142,2.0,155,539,40,11,609
"Ample, 31 , Ciutat Vella08002 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d228479-Reviews-NH_Barcelona_Barri_Gotic-Barcelona_Catalonia.html,140,3.0,35,238,8,4,168
"C/ Mallorca, 606 , 08026 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1999376-Reviews-Leonardo_Boutique_Hotel_Barcelona_Sagrada_Familia-Barcelona_Catalonia.html,147,3.0,62,333,14,10,271
"Roger de Lluria 16-18 , 08010 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d8800760-Reviews-Negresco_Princess_Hotel-Barcelona_Catalonia.html,77,4.5,32,330,12,7,125
"Princesa 33 - 35 , 08003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d601439-Reviews-Hotel_Ciutat_de_Barcelona-Barcelona_Catalonia.html,195,3.0,68,291,18,19,299
"Bailen, 4-6 , 08010 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d206920-Reviews-NH_Collection_Barcelona_Podium-Barcelona_Catalonia.html,50,4.0,15,226,2,1,94
"Avinguda Litoral 10 , 08005 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d614392-Reviews-Pullman_Barcelona_Skipper-Barcelona_Catalonia.html,172,5.0,141,675,45,29,457
"Trafalgar 30 , 08010 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d7138272-Reviews-Yurbban_Trafalgar_Hotel-Barcelona_Catalonia.html,18,3.0,26,710,4,2,167
"Rambla de Catalunya 27 , 08007 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1482943-Reviews-Hotel_Praktik_Rambla-Barcelona_Catalonia.html,85,3.0,112,1022,28,12,534
"Gran Via de les Corts Catalanes, 668 , 08010 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d190617-Reviews-El_Palace_Hotel-Barcelona_Catalonia.html,11,5.0,48,1076,24,13,172
"Aribau 201 , 08021 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228531-Reviews-Condado_Hotel_Barcelona-Barcelona_Catalonia.html,208,3.0,75,284,15,3,352
"C/ Caspe 103 , 08013 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d305584-Reviews-Ayre_Hotel_Caspe-Barcelona_Catalonia.html,123,4.0,70,266,23,7,295
"Avda. Diagonal, 570 , 08021 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228563-Reviews-NH_Hesperia_Barcelona_Presidente-Barcelona_Catalonia.html,136,4.0,52,207,24,7,247
"C/ Fontanella 7 , 8010 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d3333926-Reviews-Room_Mate_Pau-Barcelona_Catalonia.html,45,3.0,19,435,3,7,197
"Rec Comtal 16-18 , 08003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d260638-Reviews-Catalonia_Born-Barcelona_Catalonia.html,54,4.0,62,391,24,11,284
"Avd Portal De L_Angel 17 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228527-Reviews-Catalonia_Portal_de_l_Angel-Barcelona_Catalonia.html,88,3.0,55,479,17,20,245
"La Rambla 19 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d232778-Reviews-Hotel_Arc_La_Rambla-Barcelona_Catalonia.html,119,3.0,183,815,45,39,761
"Ramblas 122 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d206928-Reviews-Citadines_Ramblas_Barcelona-Barcelona_Catalonia.html,179,3.0,99,279,26,13,312
"C/ dels Arcs, 10 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1498205-Reviews-Catalonia_Catedral-Barcelona_Catalonia.html,38,4.0,35,648,5,6,251
"Via Laietana 69 , 08003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d8778628-Reviews-H10_Cubik-Barcelona_Catalonia.html,32,4.5,24,504,5,9,101
"Mallorca, 216 , 08008 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228610-Reviews-Hotel_Balmes-Barcelona_Catalonia.html,122,4.0,100,282,39,19,257
"Plaza Urquinaona, 2 , 08010 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d4323634-Reviews-H10_Urquinaona_Plaza-Barcelona_Catalonia.html,36,4.0,29,597,12,6,178
"Passeig de Gracia, 84 , A 50 metros de la Pedrera de Gaudi08008 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d4463171-Reviews-Hotel_Royal_Passeig_de_Gracia-Barcelona_Catalonia.html,92,4.0,47,490,17,23,226
"C/ Bergara, 4 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d227464-Reviews-Hotel_Regina_Barcelona-Barcelona_Catalonia.html,175,4.0,157,506,43,15,429
"117 Las Ramblas , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228634-Reviews-Royal_Ramblas_Hotel-Barcelona_Catalonia.html,144,4.0,132,591,45,27,550
"Gran Via de Les Corts Catalanes 322 - 324 , 08004 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d646326-Reviews-Ayre_Hotel_Gran_Via-Barcelona_Catalonia.html,95,4.0,82,333,11,11,335
"Calle dels Lledo 7 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d3400654-Reviews-Mercer_Hotel_Barcelona-Barcelona_Catalonia.html,3,5.0,19,1097,4,1,107
"Trafalgar, 26 , 08003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d12694365-Reviews-Yurbban_Passage_Hotel_Spa-Barcelona_Catalonia.html,6,4.5,5,166,2,0,17
"Calle Pelayo 14 , Gravina08001 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d10440705-Reviews-Hotel_Midmost-Barcelona_Catalonia.html,34,4.0,8,215,4,0,57
"Carrer Guillermo Tell, 49 , 08006 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d232792-Reviews-Pol_Grace_Hotel-Barcelona_Catalonia.html,63,4.0,46,352,10,7,176
"56 Carrer Olzinelles , 08014 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d7348706-Reviews-SmartRoom_Barcelona-Barcelona_Catalonia.html,138,3.0,14,77,4,3,50
"Numancia, 74 , 08029 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d206930-Reviews-NH_Sants_Barcelona-Barcelona_Catalonia.html,222,4.0,66,96,18,7,132
"Paris, 203 , 08036 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228590-Reviews-Hotel_Astoria-Barcelona_Catalonia.html,132,3.0,93,258,19,9,286
"Drassanes, 23-25 , Raval, Ciutat Vella08001 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d2545026-Reviews-Andante-Barcelona_Catalonia.html,108,3.0,60,514,12,9,373
"Passeig de Colom, 9 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d7142609-Reviews-Hotel_The_Serras-Barcelona_Catalonia.html,1,5.0,5,750,2,0,51
"Via Augusta 63 , 08006 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228478-Reviews-Hotel_Via_Augusta-Barcelona_Catalonia.html,193,4.0,55,104,13,5,140
"Plaza Catalunya, 19 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d589352-Reviews-Olivia_Plaza_Hotel-Barcelona_Catalonia.html,33,4.0,85,988,23,16,442
"Avda Paral.lel 76-80 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d230643-Reviews-Barcelona_Universal_Hotel-Barcelona_Catalonia.html,90,4.0,241,1850,65,31,1262
"Mallorca 288 , 08037 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d646310-Reviews-Room_Mate_Carla-Barcelona_Catalonia.html,59,4.0,6,132,1,3,67
"Gran Via de les Corts Catalanes, 605 , 08007 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d206936-Reviews-Hotel_El_Avenida_Palace-Barcelona_Catalonia.html,152,4.0,228,767,83,62,545
"Junta de Comerc 8 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d239591-Reviews-Leonardo_Hotel_Barcelona_Las_Ramblas-Barcelona_Catalonia.html,185,3.0,25,155,7,15,129
"Comte d'Urgell 232 , 08036 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d234572-Reviews-U232_Hotel-Barcelona_Catalonia.html,75,4.0,112,1259,32,17,602
"Carrer de Arago 271 , 08007 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d10266358-Reviews-Room_Mate_Anna-Barcelona_Catalonia.html,22,4.0,7,284,1,1,54
"Rosello 249 , 08008 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228465-Reviews-Gallery_Hotel-Barcelona_Catalonia.html,15,4.5,50,713,7,11,300
"Calle Bergara 8 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d296915-Reviews-Hotel_Pulitzer-Barcelona_Catalonia.html,116,4.0,147,970,33,25,638
"Carrer del Rossello 390 , 08025 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1520718-Reviews-Ayre_Hotel_Rosellon-Barcelona_Catalonia.html,78,4.0,64,440,22,10,297
"Avenida de la Catedral 7 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d190823-Reviews-Colon_Hotel-Barcelona_Catalonia.html,68,4.0,134,908,45,24,574
"Calle Bruc 33 , 08010 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d503136-Reviews-Hotel_Constanza_Barcelona-Barcelona_Catalonia.html,89,2.0,93,835,14,12,576
"Capellans, 4 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d610494-Reviews-Hotel_Barcelona_Catedral-Barcelona_Catalonia.html,61,4.0,68,992,13,12,567
"Moll de Barcelona s/n , 08039 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d240860-Reviews-Eurostars_Grand_Marina_Hotel-Barcelona_Catalonia.html,221,5.0,184,763,86,66,543
"Provenca, 277 , 08037 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d11847896-Reviews-The_One_Barcelona-Barcelona_Catalonia.html,8,5.0,4,150,1,0,11
"Paseo Garcia Faria 37-47 , 08019 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d291590-Reviews-Occidental_Atenea_Mar_Adults_only-Barcelona_Catalonia.html,181,4.0,110,281,41,36,294
"Placa de Catalunya 7 , 08026 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d234397-Reviews-H10_Catalunya_Plaza-Barcelona_Catalonia.html,72,3.0,15,282,10,9,125
"C/ Bergara 11 , 08007 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228642-Reviews-Catalonia_Plaza_Cataluna-Barcelona_Catalonia.html,135,4.0,89,420,47,41,316
"Via Laietana 24 , 08003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d254870-Reviews-H10_Montcada_Boutique_Hotel-Barcelona_Catalonia.html,76,3.0,100,965,50,21,584
"Magdalenes, 13-15 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d10062222-Reviews-Catalonia_Magdalenes-Barcelona_Catalonia.html,20,4.0,7,360,2,6,53
"Gran Via, 144 , Hospitalet de Llobregat08907 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d630596-Reviews-NH_Collection_Barcelona_Tower-Barcelona_Catalonia.html,159,5.0,164,572,68,40,492
"Calle Ciutat de Granada 99 , Hb00437208018 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d1463062-Reviews-Ibis_Barcelona_Pza_Glories_22-Barcelona_Catalonia.html,223,2.0,93,149,21,8,298
"Carrer Elisabets 11 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d543153-Reviews-Casa_Camper_Hotel_Barcelona-Barcelona_Catalonia.html,2,4.0,14,1511,11,2,140
"Placa de la Rosa dels Vents, 1 , 08039 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1465497-Reviews-W_Barcelona-Barcelona_Catalonia.html,145,5.0,361,2659,167,171,1005
"Diagonal Avenue 1-3 , 10 min from the Beach and in Front of the Convention Centre, next to a mall.08019 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d1227764-Reviews-Barcelona_Princess-Barcelona_Catalonia.html,234,4.0,222,768,79,53,688
"Provenca, 279 , 08037 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d5790522-Reviews-Hotel_Praktik_Bakery-Barcelona_Catalonia.html,81,3.0,92,827,23,16,417
"Balmes 117 , Corner With Provenca Street08008 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d4569039-Reviews-Olivia_Balmes_Hotel-Barcelona_Catalonia.html,12,4.0,29,1378,4,4,346
"Passeig del Taulat 262-264 , 08019 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d559387-Reviews-Hilton_Diagonal_Mar_Barcelona-Barcelona_Catalonia.html,237,4.0,282,1144,124,81,845
"Rambla del Raval 17-21 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1083206-Reviews-Barcelo_Raval-Barcelona_Catalonia.html,120,4.0,217,1090,50,44,836
"Rambla Catalunya, 7-9 , 08007 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d6973853-Reviews-H10_Metropolitan-Barcelona_Catalonia.html,37,4.5,19,432,8,3,98
"Mallorca 178 , 08036 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d10127321-Reviews-The_Corner_Hotel-Barcelona_Catalonia.html,7,4.0,8,384,4,1,45
"C/ Dr. Joaquim Pou, 2-4-6 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d13223478-Reviews-H10_Madison-Barcelona_Catalonia.html,17,4.0,0,79,1,1,10
"Avenida Bogatell 64-68 , 08005 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d282300-Reviews-H10_Marina_Barcelona_Hotel-Barcelona_Catalonia.html,183,4.0,207,677,78,44,680
"Carrer de Pau Claris, 179 , 08037 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d10683772-Reviews-H10_Casa_Mimosa-Barcelona_Catalonia.html,4,4.5,2,269,0,0,27
